epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.5277,1.17236,2.76513,1.6903,0.34939,0.21111,0.28196,0.13472,1.77727,3.00451,2.4974,0.000467673,0.000467673,0.000467673
2,37.7662,1.09782,2.03285,1.61154,0.63076,0.40556,0.48647,0.1726,2.29824,2.39484,2.88097,0.000920642,0.000920642,0.000920642
3,57.8561,1.14988,1.96673,1.63796,0.33813,0.30502,0.31233,0.11885,2.35446,2.89419,3.28632,0.00135003,0.00135003,0.00135003
4,75.8934,1.13331,1.82737,1.61557,0.31481,0.32778,0.25671,0.10136,2.5375,2.67825,2.96695,0.0013229,0.0013229,0.0013229
5,93.8796,1.12449,1.76304,1.60703,0.39077,0.31111,0.27753,0.1075,2.06579,2.70136,2.78515,0.00128753,0.00128753,0.00128753
6,113.992,1.12052,1.62992,1.59146,0.50045,0.49444,0.4628,0.19884,1.95619,2.37731,2.50672,0.00125216,0.00125216,0.00125216
7,132.074,1.04216,1.47395,1.54051,0.79848,0.25,0.29888,0.15381,2.0203,2.73133,2.81374,0.00121679,0.00121679,0.00121679
8,150.225,1.05598,1.42645,1.53857,0.54176,0.53753,0.53267,0.27591,1.74185,2.17446,2.35722,0.00118143,0.00118143,0.00118143
9,170.007,1.04524,1.43811,1.53195,0.66409,0.39841,0.3436,0.13976,1.97953,2.56634,2.44324,0.00114606,0.00114606,0.00114606
10,188.131,1.00189,1.32975,1.504,0.78548,0.50641,0.63158,0.21508,1.93833,2.01656,2.42079,0.00111069,0.00111069,0.00111069
11,206.244,1.01333,1.31038,1.50319,0.45472,0.47278,0.52615,0.26457,1.87117,2.12605,2.42924,0.00107532,0.00107532,0.00107532
12,223.776,0.95906,1.25295,1.4693,0.67938,0.54969,0.6015,0.30417,1.7792,1.97854,2.20948,0.00103995,0.00103995,0.00103995
13,243.693,0.95522,1.17061,1.45876,0.5154,0.49426,0.45109,0.19856,1.89978,2.14975,2.38431,0.00100459,0.00100459,0.00100459
14,261.162,0.94666,1.16961,1.44505,0.58398,0.56476,0.56913,0.2724,1.72791,1.9358,2.27767,0.000969219,0.000969219,0.000969219
15,279.55,0.95951,1.17284,1.4691,0.68747,0.63889,0.68966,0.35591,1.66643,1.59905,2.16996,0.000933851,0.000933851,0.000933851
16,299.203,0.94552,1.16557,1.44447,0.69436,0.53333,0.60986,0.31262,1.85236,1.96248,2.36679,0.000898484,0.000898484,0.000898484
17,317.712,0.92192,1.08998,1.43252,0.81177,0.53808,0.64314,0.317,1.84254,1.85212,2.34088,0.000863116,0.000863116,0.000863116
18,335.786,0.90261,1.11401,1.41527,0.66399,0.6771,0.72132,0.36881,1.52014,1.44466,2.06699,0.000827748,0.000827748,0.000827748
19,356.61,0.9013,1.08132,1.41025,0.69565,0.56634,0.59772,0.33315,1.52733,2.19054,2.23385,0.00079238,0.00079238,0.00079238
20,375.541,0.88989,1.05018,1.40616,0.71447,0.68333,0.72058,0.36774,1.67266,1.54354,2.13009,0.000757013,0.000757013,0.000757013
21,394.304,0.90612,1.01963,1.40204,0.81374,0.69663,0.81178,0.36707,1.80767,1.3786,2.13959,0.000721645,0.000721645,0.000721645
22,414.84,0.86023,0.97967,1.37134,0.84346,0.75,0.80479,0.41754,1.63663,1.37862,2.04905,0.000686277,0.000686277,0.000686277
23,433.734,0.87199,0.95845,1.38971,0.65785,0.70638,0.69838,0.351,1.69089,1.60526,2.11453,0.000650909,0.000650909,0.000650909
24,453.456,0.8684,0.98679,1.38168,0.74842,0.69444,0.75259,0.38694,1.68668,1.47585,2.13129,0.000615542,0.000615542,0.000615542
25,472.505,0.84497,0.93213,1.35733,0.82206,0.75648,0.78366,0.39483,1.69596,1.4573,2.0773,0.000580174,0.000580174,0.000580174
26,491.43,0.81787,0.89915,1.33342,0.82758,0.69444,0.81389,0.4336,1.61737,1.55867,2.07393,0.000544806,0.000544806,0.000544806
27,511.358,0.82855,0.91836,1.34788,0.88773,0.85023,0.87168,0.45463,1.63326,1.24088,2.04296,0.000509438,0.000509438,0.000509438
28,531.27,0.83211,0.88078,1.37786,0.72626,0.69444,0.69746,0.3585,1.71119,1.46352,2.08778,0.000474071,0.000474071,0.000474071
29,550.026,0.80662,0.89564,1.34149,0.87851,0.74444,0.83822,0.47285,1.4325,1.32363,1.91009,0.000438703,0.000438703,0.000438703
30,571.081,0.81363,0.85531,1.33568,0.79055,0.79444,0.76729,0.41925,1.61108,1.25259,2.04115,0.000403335,0.000403335,0.000403335
31,591.565,0.95453,0.86598,1.55724,0.68984,0.80819,0.71793,0.36271,1.72133,1.49074,2.10488,0.000367967,0.000367967,0.000367967
32,610.282,0.90745,0.75467,1.51583,0.88535,0.75556,0.8368,0.4856,1.5439,1.19875,1.98286,0.0003326,0.0003326,0.0003326
33,630.91,0.87428,0.73363,1.48493,0.8439,0.83743,0.86654,0.47739,1.54141,1.1775,1.9702,0.000297232,0.000297232,0.000297232
34,649.768,0.85491,0.69988,1.47358,0.87204,0.82222,0.8783,0.44558,1.6414,1.26492,2.04475,0.000261864,0.000261864,0.000261864
35,668.313,0.84195,0.67936,1.45196,0.74269,0.85556,0.79464,0.46028,1.46461,1.23012,1.94175,0.000226497,0.000226497,0.000226497
36,687.054,0.84964,0.64458,1.47309,0.86204,0.85556,0.8733,0.45979,1.56334,1.1499,1.96355,0.000191129,0.000191129,0.000191129
37,705.141,0.8264,0.61408,1.42909,0.88652,0.816,0.87738,0.50653,1.54612,1.04881,2.0267,0.000155761,0.000155761,0.000155761
38,723.94,0.81307,0.61473,1.44535,0.84891,0.80756,0.81603,0.43941,1.5347,1.12592,1.96017,0.000120393,0.000120393,0.000120393
39,742.096,0.81541,0.61781,1.42644,0.84475,0.85073,0.83364,0.47464,1.51297,1.05331,1.96744,8.50255e-05,8.50255e-05,8.50255e-05
40,761.922,0.77925,0.5923,1.41192,0.83222,0.79202,0.78617,0.45631,1.56002,1.11636,2.00846,4.96578e-05,4.96578e-05,4.96578e-05
